plate;parkingId
GHV565;100
LAM000;100
LAM001;100
IJK001;100
CGC519;100
ROB714;100
AJT124;100
COA721;100
JJV112;100
LED195;100
MIT123;100
NAJ352;100
QWE000;100
RTQ843;100
DUL009;100
RAQ035;100
INK117;100
MAA227;100
JAC270;100
GAB727;100
SOP002;100
SOP004;100
SOP008;100
SOP001;100
SOP007;100
SOP001;100
SOP007;100
AAE701;100
CAC613;100
AAE802;100
CAC215;100
ACB409;100
AAE596;100
BAD816;100
ACB530;100
ACB431;100
ADD320;100
BCD677;100
BEA399;100
BCD703;100
ADA208;100
ACB278;100
ACB279;100
BAA026;100
AAC623;100
AAC624;100
AEA149;100
BDD389;100
CAE228;100
AAC625;100
AEC781;100
ADA999;100
BCB654;100
ABE079;100
ABE349;100
ABE373;100
BAE537;100
BAE749;100
CAA370;100
BDD117;100
ABE376;100
ADE362;100
ABA936;100
ACC522;100
BBD015;100
BEB446;100
CAD869;100
PLACA;100
BDA897;100
ABB754;100
ADE776;100
BCE419;100
CAD824;100
ABB093;100
BEB570;100
BAA794;100
BAA009;100
BEB136;100
BEB137;100
ACC218;100
BEB572;100
BAA857;100
ABA783;100
BCE940;100
CAD561;100
ACC152;100
BCE422;100
BCE941;100
BBD133;100
CAD562;100
BEB057;100
BAA798;100
ACC154;100
BAA799;100
ABA876;100
CAD563;100
BCE490;100
BAA846;100
ACD381;100
BEC358;100
AAE735;100
AEB512;100
ABA800;100
ACC691;100
BDB973;100
BEB209;100
BBC584;100
CAC164;100
BCE374;100
PLACA;100
BEB235;100
BBB591;100
CAC061;100
BBC277;100
BCE052;100
BBB594;100
BBC280;100
BBB596;100
BBC281;100
AAE345;100
CAC890;100
BBC454;100
CAE256;100
BAB930;100
ACD160;100
BEE224;100
BDC345;100
BEC102;100
ACD161;100
ADA186;100
ABB291;100
AEA213;100
BBD609;100
ADA131;100
BEE142;100
BAD638;100
ABE962;100
ABE963;100
BAA454;100
BEA877;100
CAA418;100
AAB236;100
ADD603;100
AAE967;100
BCC165;100
AAB669;100
BAD836;100
ADA301;100
ACA806;100
BAC475;100
CAB772;100
PLACA;100
AEB415;100
BCA070;100
ABD409;100
AAA973;100
AAE045;100
BBB309;100
BCC747;100
ACD770;100
BDE569;100
BAD553;100
BEE050;100
ADB510;100
BCB965;100
ADB511;100
BCB966;100
ADB588;100
ADB589;100
ABE747;100
BBA269;100
AAD011;100
ABE749;100
BCD007;100
ADC620;100
CAB715;100
CAB716;100
ADC623;100
CAB742;100
ADD394;100
BCA632;100
BEE276;100
AEB987;100
BAE858;100
ADB234;100
ABE350;100
BAE540;100
AAC653;100
ABE378;100
AED024;100
BBD755;100
AEA150;100
CAA372;100
PLACA;100
AED055;100
BCB686;100
CAA341;100
CAE230;100
BAE615;100
ADB032;100
ACB303;100
BCB656;100
ABB437;100
AEC893;100
BDD305;100
AAC461;100
BAE854;100
BAE855;100
ABE345;100
ADE587;100
BED792;100
BDB991;100
BAD476;100
AED927;100
BDC117;100
BAA418;100
BCA210;100
ACE809;100
AEB538;100
ADD566;100
BEB656;100
BAB322;100
BEB669;100
BAB396;100
BAA869;100
BBD217;100
ACC206;100
ACC897;100
CAD153;100
ADE066;100
ADE048;100
BBC691;100
BEB442;100
BBD004;100
ACC515;100
PLACA;100
ADE357;100
ADE049;100
BAA848;100
BAA870;100
BBD006;100
AAB710;100
BAD399;100
BCB344;100
AEB624;100
BAD400;100
BDA218;100
BCA247;100
AEB592;100
AEB593;100
BCA273;100
BAD401;100
BED854;100
BDC031;100
ADE157;100
AAB166;100
BDA235;100
BAB582;100
BAD402;100
ABC958;100
BBC987;100
BEB919;100
ACE894;100
BBD454;100
BEB920;100
BAB584;100
BAB585;100
AAB229;100
BCE059;100
BCE060;100
BBC285;100
BAA457;100
BAA458;100
BDA643;100
ADB821;100
ACC376;100
BEB301;100
PLACA;100
ADB937;100
BEC145;100
ACA075;100
CAE097;100
BDA322;100
ADD855;100
ACC046;100
BEE268;100
BBC976;100
BEC019;100
ABA637;100
BAD778;100
BCA566;100
ABB220;100
CAD988;100
ABB221;100
AEB894;100
ACC486;100
CAD304;100
BBC887;100
BAB018;100
ADE200;100
BCA567;100
BAD673;100
BDC209;100
ABD339;100
ABD340;100
BAD764;100
CAC575;100
BBC100;100
BCA654;100
BAA296;100
BEE279;100
CAC277;100
AEB989;100
BBB821;100
BAD732;100
ABD083;100
ABD084;100
ADA237;100
BCA656;100
PLACA;100
BCA427;100
AEB749;100
BEE381;100
BCA798;100
BCA428;100
BCA429;100
BEE033;100
BCA799;100
AEB898;100
BEE187;100
ABD240;100
BCA802;100
AEC133;100
ADA158;100
AAB737;100
AEC134;100
AEB902;100
BCA803;100
AAB505;100
AEC135;100
BBB783;100
ACB381;100
AEA793;100
BAA419;100
ACB778;100
ACD082;100
AAB282;100
ABA576;100
BDA019;100
BAA420;100
ADE589;100
ADE584;100
CAC698;100
BCE025;100
ADE586;100
BCA206;100
ACA099;100
ABC868;100
BED790;100
AAB279;100
BBA631;100
PLACA;100
BCC436;100
ACE960;100
BED791;100
AEB537;100
AAE926;100
BCA209;100
ABA820;100
BEB600;100
CAD591;100
BDE252;100
BAD307;100
CAC700;100
AAB280;100
BBD147;100
ACC873;100
BBC710;100
ABA380;100
ABC587;100
ACC874;100
ADE730;100
AEB559;100
AEB560;100
ABB038;100
AEB275;100
ACD003;100
BBD457;100
BBD458;100
BCA319;100
ABC620;100
CAD880;100
BAD061;100
BBD459;100
ABB144;100
ADE818;100
BDA239;100
ABC893;100
BAB376;100
BAB377;100
ACB448;100
BCA242;100
BBD115;100
PLACA;100
BAB634;100
BBC242;100
ADD571;100
CAC703;100
ADD572;100
ACB781;100
BED893;100
BEC284;100
AEB596;100
ACE865;100
BCA303;100
BED894;100
CAE448;100
BAC152;100
ABC920;100
ABC964;100
AEB597;100
BDC056;100
BBE010;100
BCA297;100
BED896;100
BDA290;100
ACD553;100
CAE468;100
ABC966;100
ACE891;100
ABC967;100
ADE300;100
AAB402;100
AEB806;100
CAD385;100
ABB205;100
BDA311;100
BBB871;100
BAB133;100
